,geoid
887,060730170513
888,060730039021
889,060730040003
890,060730177012
891,060730200183
892,060730200292
893,060730028043
894,060730079102
895,060730170332
896,060730170152
897,060730097067
898,060730083391
899,060730109002
900,060730018003
901,060730208011
902,060730200162
903,060730170224
904,060730054002
905,060730170352
906,060730194061
907,060730085025
908,060730013005
909,060730201093
910,060730145003
911,060730036022
912,060730116011
913,060730170412
914,060730088002
915,060730027081
916,060730027083
917,060730078005
918,060730083122
919,060730005001
920,060730070022
921,060730083061
922,060730023013
923,060730134113
924,060730170212
925,060730074002
926,060730089013
927,060730083504
928,060730170371
929,060730039013
930,060730022021
931,060730202072
932,060730083052
933,060730079052
934,060730077013
935,060730085023
936,060730170403
937,060730134103
938,060730083072
939,060730203043
940,060730192082
941,060730095051
942,060730083371
943,060730198041
944,060730174014
945,060730200192
946,060730073013
947,060730132043
948,060730132063
949,060730147002
950,060730083293
951,060730036031
952,060730200181
953,060730129003
954,060730117002
955,060730212042
956,060730039022
957,060730203042
958,060730174011
959,060730171084
961,060730085131
962,060730215002
963,060730116022
964,060730200252
965,060730083412
966,060730201082
967,060730095022
968,060730178014
969,060730016002
970,060730035011
971,060730028012
973,060730075014
974,060730168062
975,060730168061
976,060730027022
977,060730073012
978,060730198051
979,060730203053
980,060730095052
981,060730171041
982,060730139081
983,060730150001
984,060730101121
985,060730203052
986,060730085095
987,060730034013
988,060730005002
989,060730159023
990,060730150003
992,060730013001
993,060730093061
994,060730206024
995,060730170451
996,060730078001
997,060730103003
998,060730133011
999,060730168093
1000,060730202114
1001,060730028011
1002,060730134161
1003,060730170521
1004,060730134202
1005,060730200273
1006,060730203071
1007,060730136043
1009,060730131041
1010,060730041002
1011,060730083632
1012,060730034012
1013,060730213041
1014,060730061001
1015,060730200163
1016,060730169014
1017,060730039023
1018,060730203051
1019,060730216002
1020,060730079072
1021,060730053002
1023,060730178132
1024,060730198061
1025,060730168111
1026,060730136051
1028,060730173052
1029,060730003004
1030,060730106012
1031,060730172001
1032,060730170362
1033,060730091034
1034,060730046002
1035,060730128001
1036,060730198033
1037,060730185171
1038,060730085011
1039,060730081023
1040,060730100042
1041,060730035021
1042,060730085061
1043,060730170401
1044,060730111001
1045,060730195022
1046,060730048002
1047,060730026023
1048,060730083473
1049,060730083643
1050,060730168023
1051,060730100052
1052,060730073011
1053,060730083031
1054,060730031092
1055,060730097063
1056,060730110002
1057,060730083442
1058,060730123041
1059,060730175021
1060,060730083472
1061,060730036033
1062,060730185041
1063,060730083561
1064,060730203044
1065,060730016003
1066,060730017001
1067,060730027123
1068,060730006002
1069,060730170225
1070,060730120021
1071,060730153022
1072,060730134114
1073,060730103004
1074,060730009006
1075,060730083071
1076,060730021001
1077,060730170471
1078,060730202111
1079,060730034033
1080,060730201051
1081,060730173044
1082,060730170373
1083,060730101112
1084,060730022023
1085,060730132061
1086,060730033011
1087,060730221001
1088,060730170342
1089,060730171063
1090,060730137012
1091,060730178084
1092,060730085093
1093,060730097053
1094,060730134091
1095,060730100111
1096,060730151002
1097,060730168071
1098,060730108001
1099,060730200133
1100,060730027102
1101,060730202063
1102,060730192061
1103,060730075015
1104,060730204043
1105,060730025023
1106,060730197023
1107,060730102001
1108,060730194033
1109,060730160001
1110,060730021004
1111,060730204041
1112,060730083483
1113,060730083272
1114,060730105021
1115,060730200132
1116,060730101105
1117,060730198052
1118,060730176012
1119,060730181004
1120,060730201084
1121,060730074001
1122,060730202093
1123,060730151003
1124,060730083602
1125,060730098013
1127,060730126004
1128,060730158022
1129,060730170341
1130,060730024022
1131,060730195021
1132,060730155013
1133,060730166072
1134,060730179005
1135,060730133021
1136,060730170343
1137,060730133082
1138,060730101033
1139,060730085034
1141,060730085041
1142,060730026022
1143,060730156011
1144,060730026012
1145,060730110001
1146,060730023011
1147,060730088001
1148,060730204032
1149,060730151004
1150,060730166101
1152,060730202092
1153,060730050001
1155,060730091013
1156,060730083402
1157,060730073022
1158,060730170193
1159,060730101072
1160,060730128002
1161,060730085091
1162,060730178111
1163,060730085071
1164,060730018006
1165,060730171083
1166,060730026013
1167,060730201083
1168,060730088004
1169,060730048003
1170,060730200184
1171,060730125023
1172,060730135042
1173,060730079071
1174,060730091011
1175,060730093053
1176,060730133092
1177,060730059001
1178,060730133112
1179,060730165044
1180,060730198053
1181,060730166122
1182,060730002023
1183,060730171061
1184,060730091042
1185,060730028034
1186,060730034031
1187,060730205003
1188,060730141011
1189,060730202071
1190,060730014002
1191,060730079034
1192,060730171062
1193,060730098043
1194,060730204051
1195,060730148051
1196,060730183002
1197,060730083551
1198,060730027122
1199,060730170414
1200,060730045012
1201,060730170482
1202,060730042001
1203,060730161003
1204,060730083401
1205,060730031012
1206,060730148062
1207,060730202101
1208,060730202133
1209,060730021005
1210,060730124022
1211,060730202091
1212,060730100051
1213,060730025013
1214,060730168043
1215,060730124023
1216,060730168021
1217,060730177021
1218,060730181002
1219,060730074005
1220,060730170101
1221,060730083404
1222,060730170522
1223,060730200161
1224,060730085045
1225,060730123021
1226,060730166053
1227,060730139091
1228,060730035012
1229,060730200293
1230,060730089014
1231,060730170442
1232,060730207094
1233,060730166092
1234,060730195032
1235,060730085032
1236,060730018004
1237,060730044002
1238,060730134213
1239,060730201092
1240,060730033042
1241,060730098042
1242,060730028041
1243,060730029051
1244,060730138012
1245,060730200143
1246,060730126002
1247,060730156013
1248,060730011002
1249,060730028032
1250,060730200193
1251,060730207071
1252,060730207093
1253,060730030011
1254,060730170201
1255,060730158023
1256,060730027032
1257,060730178091
1258,060730069001
1259,060730027072
1260,060730207081
1261,060730133062
1262,060730206012
1263,060730077024
1264,060730056002
1265,060730200222
1267,060730164013
1268,060730027033
1269,060730116012
1270,060730096031
1271,060730206023
1272,060730087023
1273,060730068021
1274,060730213031
1275,060730154044
1276,060730027052
1277,060730044001
1278,060730199031
1279,060730157032
1280,060730195023
1281,060730214003
1283,060730086002
1284,060730207072
1285,060730065001
1286,060730200131
1287,060730207061
1288,060730159022
1289,060730155012
1292,060730166051
1294,060730077023
1295,060730174042
1296,060730029032
1297,060730154031
1298,060730082001
1299,060730083623
1300,060730083441
1301,060730085076
1302,060730083542
1303,060730170432
1304,060730085062
1305,060730013002
1306,060730192074
1307,060730179003
1308,060730025012
1309,060730131044
1310,060730136062
1311,060730086004
1312,060730163021
1313,060730185123
1314,060730083101
1315,060730098053
1316,060730134211
1317,060730076003
1318,060730185122
1319,060730170374
1320,060730019001
1321,060730009002
1322,060730165043
1323,060730100032
1324,060730136012
1325,060730098041
1326,060730154043
1327,060730032081
1328,060730023022
1329,060730068023
1330,060730116021
1331,060730060002
1332,060730135041
1333,060730031093
1334,060730096033
1335,060730207082
1336,060730131042
1337,060730159021
1338,060730122001
1339,060730200142
1340,060730101091
1341,060730214002
1342,060730170423
1343,060730032021
1344,060730165023
1345,060730195012
1346,060730023021
1347,060730170512
1348,060730153011
1349,060730014003
1350,060730091072
1351,060730170182
1352,060730134012
1353,060730203082
1354,060730097062
1355,060730085014
1356,060730007002
1357,060730098023
1358,060730170483
1359,060730123032
1360,060730031073
1361,060730046001
1362,060730139031
1363,060730200152
1364,060730102003
1365,060730221002
1366,060730022011
1367,060730101122
1368,060730079101
1369,060730011003
1370,060730083552
1371,060730170411
1372,060730078003
1373,060730168024
1374,060730102006
1375,060730170102
1376,060730186032
1377,060730164024
1378,060730034011
1379,060730168073
1380,060730205002
1381,060730097065
1382,060730095092
1383,060730170441
1384,060730202062
1385,060730026011
1386,060730160002
1387,060730201071
1388,060730179004
1389,060730027023
1390,060730118011
1391,060730032072
1392,060730025021
1393,060730194032
1394,060730016001
1395,060730032111
1396,060730053001
1397,060730154061
1398,060730149021
1399,060730156012
1400,060730097042
1401,060730133095
1402,060730083642
1403,060730083651
1404,060730134183
1405,060730089021
1406,060730170553
1407,060730032082
1408,060730170552
1409,060730027073
1410,060730027084
1411,060730030012
1412,060730096023
1413,060730185151
1414,060730096022
1415,060730170226
1416,060730100033
1417,060730178013
1418,060730134181
1419,060730031113
1420,060730170392
1421,060730134201
1422,060730195033
1423,060730200182
1424,060730077022
1425,060730170311
1426,060730136042
1427,060730079032
1428,060730170472
1429,060730089011
1430,060730165021
1431,060730002011
1432,060730032143
1433,060730136061
1434,060730192051
1435,060730170304
1436,060730170181
1437,060730165031
1438,060730022012
1439,060730125012
1440,060730170372
1441,060730151001
1442,060730031153
1443,060730083531
1444,060730178012
1445,060730136014
1446,060730145001
1447,060730178102
1448,060730148033
1449,060730154052
1450,060730083514
1451,060730097033
1452,060730170331
1453,060730166161
1454,060730138022
1455,060730202112
1456,060730157042
1457,060730139082
1458,060730139092
1459,060730065002
1460,060730009003
1461,060730083521
1462,060730097032
1463,060730185112
1464,060730166102
1465,060730101042
1466,060730141012
1467,060730135031
1468,060730196013
1469,060730132033
1470,060730003003
1471,060730169012
1472,060730117003
1473,060730136064
1474,060730096044
1475,060730164021
1476,060730154051
1477,060730178112
1478,060730176042
1479,060730133061
1480,060730054004
1481,060730034014
1482,060730166081
1483,060730167012
1484,060730221003
1485,060730137021
1486,060730166151
1487,060730200243
1488,060730060003
1489,060730139071
1491,060730054001
1492,060730079051
1493,060730097044
1494,060730134151
1495,060730041001
1496,060730158021
1497,060730083352
1498,060730134171
1499,060730024013
1500,060730033032
1501,060730075023
1502,060730134143
1503,060730093062
1504,060730170421
1505,060730033012
1506,060730199051
1507,060730196014
1508,060730170363
1509,060730100034
1510,060730179002
1511,060730032042
1512,060730166052
1513,060730185091
1514,060730138021
1515,060730031141
1516,060730134184
1517,060730148041
1518,060730140012
1519,060730083573
1520,060730101041
1521,060730156021
1522,060730200171
1523,060730140013
1524,060730198082
1525,060730100102
1526,060730206013
1527,060730166171
1528,060730085063
1529,060730149013
1530,060730095062
1531,060730134121
1532,060730140014
1533,060730124011
1534,060730148042
1535,060730174043
1536,060730199022
1537,060730199042
1538,060730083601
1539,060730191052
1540,060730170153
1541,060730041004
1542,060730029022
1543,060730010004
1544,060730042002
1545,060730085052
1546,060730194063
1547,060730199052
1548,060730029041
1549,060730029033
1550,060730181003
1551,060730085102
1552,060730148053
1553,060730200221
1554,060730201052
1555,060730095103
1556,060730083431
1557,060730130003
1558,060730140021
1559,060730027031
1560,060730120032
1561,060730142004
1562,060730083562
1563,060730028042
1564,060730093063
1565,060730180002
1566,060730083331
1567,060730161002
1568,060730056001
1569,060730201061
1570,060730087021
1571,060730123042
1572,060730201033
1573,060730185121
1574,060730203072
1575,060730166091
1576,060730157012
1577,060730058001
1578,060730167024
1580,060730170431
1581,060730168041
1582,060730057002
1583,060730192063
1584,060730121022
1585,060730083584
1586,060730100103
1587,060730090001
1588,060730101071
1589,060730201081
1590,060730083513
1591,060730101101
1592,060730166141
1594,060730096024
1595,060730170413
1596,060730098012
1597,060730147004
1598,060730119024
1599,060730027112
1600,060730083411
1601,060730197013
1602,060730203041
1603,060730088003
1604,060730199043
1605,060730200211
1606,060730093052
1607,060730148032
1608,060730166142
1609,060730158012
1610,060730166071
1611,060730085053
1612,060730093011
1613,060730097043
1614,060730031154
1615,060730134144
1616,060730146011
1617,060730148052
1618,060730134141
1619,060730125022
1620,060730200281
1621,060730083582
1622,060730093064
1623,060730004001
1624,060730085122
1625,060730170461
1626,060730148061
1627,060730030033
1628,060730165022
1629,060730029053
1630,060730136053
1631,060730185143
1632,060730201072
1633,060730031131
1634,060730193012
1635,060730095061
1636,060730164025
1637,060730168042
1638,060730083583
1639,060730093013
1640,060730181001
1641,060730027091
1642,060730202021
1643,060730207053
1644,060730199032
1645,060730192073
1646,060730087022
1647,060730157041
1648,060730163022
1649,060730068022
1650,060730178101
1651,060730171102
1652,060730216001
1653,060730147003
1654,060730166073
1655,060730104021
1656,060730083571
1657,060730031091
1658,060730083572
1659,060730075013
1660,060730095101
1661,060730032084
1662,060730182002
1663,060730119022
1664,060730128003
1665,060730027071
1666,060730096032
1667,060730010001
1668,060730083523
1669,060730028031
1670,060730153021
1671,060730036011
1672,060730119023
1673,060730083502
1674,060730085072
1675,060730139053
1676,060730137023
1677,060730219002
1678,060730085055
1679,060730143002
1680,060730130002
1681,060730200202
1682,060730186034
1683,060730117001
1684,060730032091
1685,060730118023
1686,060730131022
1687,060730078004
1688,060730134142
1689,060730203092
1690,060730134011
1691,060730134122
1692,060730027051
1693,060730032085
1694,060730104023
1695,060730083533
1696,060730083482
1697,060730162012
1698,060730200263
1699,060730032041
1700,060730027101
1701,060730182001
1702,060730196022
1703,060730118022
1704,060730098054
1706,060730097045
1707,060730136013
1708,060730029031
1709,060730135033
1710,060730145002
1711,060730027092
1712,060730083332
1713,060730165032
1714,060730200253
1715,060730200251
1716,060730139051
1717,060730122002
1718,060730165041
1719,060730095021
1720,060730199041
1721,060730195031
1722,060730215001
1723,060730198031
1724,060730161001
1725,060730204042
1726,060730085094
1727,060730082002
1728,060730202141
